GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionRecursoNoEncontrado,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionProhibido,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionReglaDeNegocio,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionPeticionIncorrecta,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionErrorInternoDelServidor,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionSinContenido,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionTiempoDeEspera,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.exceptions,ExcepcionNoAutorizado,4,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.dto,RespuestaErrorPersonalizadaDTO,85,0,14,0,2,0,14,0,7,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.dto,ApplicationEntry.ApplicationEntryBuilder,37,0,0,0,1,0,5,0,5,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.dto,TrAutenticacionDTO,202,0,32,0,1,0,29,0,13,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.dto,ErrorDTO,224,0,32,0,8,0,30,0,14,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.dto,ApplicationEntry,138,0,22,0,4,0,22,0,11,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.commons,Messages,40,0,0,0,12,0,2,0,2,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.commons,ConstantesFormatosFecha,38,0,0,0,12,0,2,0,2,0
prospectos-application/prospectos-commons,mx.com.backend.prospectos.commons,Constantes,3,0,0,0,2,0,1,0,1,0
prospectos-application/prospectos-persistence,mx.com.backend.prospectos.model,TrCodigoAutenticacionEntity,365,0,62,0,10,0,51,0,20,0
prospectos-application/prospectos-persistence,mx.com.backend.prospectos.model,ApplicationItem.ApplicationItemBuilder,50,0,0,0,1,0,6,0,6,0
prospectos-application/prospectos-persistence,mx.com.backend.prospectos.model,ApplicationItem,185,0,30,0,7,0,28,0,13,0
prospectos-application/prospectos-persistence,mx.com.backend.prospectos.model,TrAsesorEntity,549,0,94,0,14,0,75,0,28,0
prospectos-application/prospectos-services,mx.com.backend.prospectos.controller,ApplicationController,25,0,0,0,6,0,4,0,4,0
prospectos-application/prospectos-services,mx.com.backend.prospectos.controller,AutenticacionController,59,0,0,0,14,0,4,0,4,0
prospectos-application/prospectos-services,mx.com.backend.prospectos.controller,ejemploController,5,0,0,0,2,0,2,0,2,0
prospectos-application/prospectos-services,mx.com.backend.prospectos.service.impl,AutenticacionServiceImpl,204,0,4,0,44,0,10,0,8,0
prospectos-application/prospectos-services,mx.com.backend.prospectos.service.impl,ApplicationServiceImpl,81,0,0,0,19,0,7,0,7,0
prospectos-application/prospectos-services,mx.com.backend.prospectos.handler,ManejadorErroresPersonalizado,300,0,0,0,57,0,16,0,16,0
